Link,ID,name,tag,description,date,developer,price,Recent_Description,Recent_Count,Recent_Percentage,Overall_Description,Overall_Count,Overall_Percentage,peak
https://store.steampowered.com/app/1987080/,1987080,Inside the Backrooms,"抢先体验
恐怖
多人
生存恐怖
解谜
心理恐怖
合作
冒险
在线合作
探索
第一人称
氛围
第一人称射击
3D
黑暗
悬疑
科幻
虚拟现实
剧情丰富
玩家对战环境","Inside the Backrooms is a horror multiplayer game mixed with different mechanics that will make you spend an intense night with friends. Explore, think, interact, but be careful, it is rumored that there are several entities wishing to find you...",2022 年 6 月 20 日,MrFatcat,0,多半好评,286,76.0,特别好评,34537,84.0,14807
https://store.steampowered.com/app/2440510/,2440510,Forza Motorsport 极限竞速,"竞速
汽车模拟
模拟
体育
第一人称
多人
驾驶
拟真
第三人称
单人
物理
沉浸式模拟
玩家对战
孩童
管理
科学
交通运输
角色自定义
选择取向
竞技",在全新的职业生涯中超越竞争对手。在经过评审的多人游戏中与好友比赛。在世界著名的赛道上驾驶 500 多辆汽车与尖端的 AI 竞速，体验先进的物理学效果以及轮胎和燃料策略。,2023 年 10 月 9 日,Turn 10,0,褒贬不一,490,44.0,褒贬不一,6333,40.0,4507
https://store.steampowered.com/app/278080/,278080,真・三国无双７ with 猛将传,"砍杀
动作
无双
历史
第三人称
好评原声音轨
本地合作
本地多人
清版动作
多人
单人
动作角色扮演
角色扮演
冒险
格斗
合作
日系角色扮演
策略
华丽格斗
休闲",一次就能畅享一骑当千的爽快动作『真‧三国无双７』与新增丰富要素的『猛将传』两款游戏！ 除了有魏、吴、蜀、晋等各势力的戏剧性故事发展之外，更新增了描绘三国志最强武将「吕布」的生存之道的剧本！,2014 年 5 月 13 日,"KOEI TECMO GAMES CO., LTD.",0,特别好评,54,85.0,特别好评,10723,84.0,3851
https://store.steampowered.com/app/955900/,955900,了不起的修仙模拟器,"模拟
角色扮演
策略
武术
沙盒
神话
殖民模拟
独立
生存
开放世界
基地建设
单人
管理
抢先体验
奇幻
2D
建造
动漫
心理恐怖
裸露",独一无二的修仙游戏，建立属于你的仙门，招收天资绝代的弟子，建造美轮美奂的建筑，收集各种神妙的修行功法、灵药法宝、神通秘籍。搭建修行宝地，让门下弟子逐步修行突破。筑基、炼气、结丹、元神等境界，最终度过天劫飞升成仙。将你的门派从一无所有的乡村聚落，经营成威名赫赫的高门大派。,2020 年 11 月 24 日,GSQ Games,0,多半好评,56,75.0,特别好评,17953,86.0,18169
https://store.steampowered.com/app/293760/,293760,Automation - The Car Company Tycoon Game,"模拟
管理
建造
沙盒
汽车模拟
策略
拟真
抢先体验
制作
教育
独立
可模组化
科学
单人
竞速
经济
重玩价值
沉浸式模拟
物理
选择取向","Make your dream cars a reality with Automation’s unparalleled car and engine design tools. Gain a competitive edge through smart engineering and business decisions to help you build an automotive empire. Will you become an industry leader, or just a footnote in automotive history?",2015 年 3 月 12 日,Camshaft Software Ltd,0,特别好评,198,94.0,特别好评,10679,92.0,1235
https://store.steampowered.com/app/1256670/,1256670,Library Of Ruina,"剧情丰富
策略
卡牌游戏
困难
牌组构建
回合制战斗
单人
独立
心理恐怖
好评原声音轨
视觉小说
血腥
回合制
卡牌战斗
角色扮演
2D
回合战略
动漫
恐怖
动作",“正于此地，愿您找到想要的书。” 扮演图书馆的馆长，迎接慕名而来的宾客。 您的司书将为图书馆奋战到底。 宾客与司书的战斗在名为图书馆的舞台上一触即发。 落败的宾客将成为书籍，图书馆亦随之壮大。 而一本好书能让您邀请更多谜团重重的宾客。 扩充您的馆藏，挖掘深埋在都市之下的秘密。 最终由您亲手完成…… 那本独一无二的至理之书。,2021 年 8 月 10 日,ProjectMoon,0,好评如潮,415,96.0,特别好评,23640,93.0,7211
https://store.steampowered.com/app/433340/,433340,Slime Rancher,"可爱
探索
冒险
单人
开放世界
第一人称
彩色
欢乐
沙盒
模拟
休闲
管理
奇幻
孩童
独立
好评原声音轨
女性主角
动作
抢先体验
第一人称射击",Slime Rancher是一部关于碧翠丝·乐步的传奇故事。这个年轻又有闯劲的牧场主，在离开地球1000光年的”致远牧星”上开始了身为史莱姆牧场主的新生活。怀揣着勇往直前的信念，还有可靠的真空抢，她踏上了新的征途。在这里，她将重建牧场、积累财富，还要突破隐藏在Q弹史莱姆后的重重冒险。,2017 年 8 月 1 日,Monomi Park,0,好评如潮,872,96.0,好评如潮,105993,97.0,7189
https://store.steampowered.com/app/1331550/,1331550,Big Ambitions,"抢先体验
管理
经济
模拟
资本主义
生活模拟
沙盒
单人
时间管理
沉浸式模拟
库存管理
资源管理
3D
俯视
第三人称
角色扮演
开放世界
现代
风格化
电脑角色扮演",Big Ambitions 是一款革命性的角色扮演模拟经营游戏。 你从一无所有起步，开办小企业，创建大公司，最终成为全纽约最大的企业家。,2023 年 3 月 10 日,Hovgaard Games,0,特别好评,275,90.0,特别好评,7758,93.0,10873
https://store.steampowered.com/app/1607680/,1607680,面包和年糕 (Bread & Fred),"合作
本地合作
可爱
像素图形
2D 平台
精确平台
困难
多人
2D
平台游戏
欢乐
喜剧
孩童
本地多人
雪
横向滚屏
休闲
控制器
在线合作
彩色",拉上你的好友一同协作进行挑战，帮助两只可爱的企鹅“面包”和“年糕”抵达雪山之巅吧。看准跳跃的时机、紧抓山壁，再通过摆荡穿越间隙吧！在跌回山脚之前，你们能爬到多高呢？,2023 年 5 月 23 日,SandCastles Studio,0,特别好评,60,91.0,特别好评,2627,87.0,909
https://store.steampowered.com/app/571740/,571740,Golf It!,"多人
迷你高尔夫
高尔夫
休闲
体育
欢乐
在线合作
单人
模拟
关卡编辑
独立
抢先体验
本地多人
沙盒
合作
孩童
网络梗
虚拟现实
困难
策略","Embark on an exciting journey with Golf It! Seize your putter, rally your friends, and immerse yourself in an epic minigolf adventure. Conquer countless courses, create lasting memories, and refine your skills to emerge as the ultimate minigolf champion. Your thrilling golfing odyssey begins here!",2023 年 8 月 18 日,Perfuse Entertainment,0,特别好评,176,90.0,特别好评,21396,90.0,2826
https://store.steampowered.com/app/1372280/,1372280,MELTY BLOOD: TYPE LUMINA,"格斗
2D 格斗
动漫
像素图形
吸血鬼
街机
多人
玩家对战
竞技
剧情丰富
华丽格斗
电竞
故事架构丰富 
动作
控制器
现代
2D
视觉小说
单人
教程",以TYPE-MOON精心打造之长篇传奇视觉小说《月姬》世界观，所呈现出的2D对战格斗游戏系列最新作。 由《月姬 -A piece of blue glass moon-》的角色群交织出的战斗故事，现在即将再次揭幕——,2021 年 9 月 29 日,FRENCH-BREAD,0,特别好评,60,90.0,特别好评,7624,88.0,13182
https://store.steampowered.com/app/768200/,768200,小小世界: 原野求生,"生存
开放世界生存制作
多人
基地建设
在线合作
开放世界
建造
制作
探索
合作
单人
沙盒
冒险
角色扮演
角色自定义
动作冒险
第三人称
第一人称
城市营造
动作",微观尺度的宏大冒险等你体验！《Smalland》是一款多人生存游戏，你要在危机四伏的广阔世界中谋求生存。处在食物链底端的你小得不起眼，要活下来，必须做好万全的准备。打造武器和护甲，驯服并骑乘各种生物，建造营地，探索光怪陆离的新世界。 ,2024 年 2 月 15 日,Merge Games,0,多半好评,147,72.0,特别好评,5332,85.0,12685
https://store.steampowered.com/app/304050/,304050,宝藏世界,"免费开玩
沙盒
像素图形
开放世界
奇幻
孩童
体素
重玩价值
程序生成
建造
制作
大型多人在线角色扮演
角色扮演
多人
冒险
迷宫探索
怀旧
大型多人在线
动作
彩色",快快呼朋唤友、秣兵历马，勇闯这款超棒的动作MMO《宝藏世界》吧！,2015 年 7 月 9 日,gamigo US Inc.,0,多半好评,297,75.0,特别好评,91622,80.0,58709
https://store.steampowered.com/app/992300/,992300,嗜血印 Bloody Spell,"裸露
女性主角
动作角色扮演
砍杀
类 Rogue
武术
3D
轻度 Rogue
动作
开放世界
在线合作
多人
单人
角色扮演
暴力
血腥
3D 视觉
独立
冒险
动作类 Rogue",《嗜血印》是一款武侠动作类角色扮演游戏，玩法上以核心向战斗为主体，并融合了众多战斗元素及系统与一身。如果你是一名追求热血、勇于挑战极限的玩家，《嗜血印》绝对能激发你的肾上腺素，带给你淋漓尽致的战斗体验。,2022 年 1 月 26 日,艺龙游戏,0,特别好评,184,88.0,特别好评,28336,89.0,7267
https://store.steampowered.com/app/1128810/,1128810,RISK: Global Domination,"免费开玩
棋盘游戏
多人
策略
战争
回合战略
回合制
战术
单人
休闲
回合制战术
桌上游戏
本地合作
经典
独立
在线合作
大战略
本地多人
心理恐怖
大型多人在线",在标志性战略桌面游戏 RISK 统治世界（称霸全球）中征服世界。,2020 年 2 月 19 日,SMG Studio,0,多半好评,363,70.0,特别好评,35334,80.0,11604
https://store.steampowered.com/app/1794960/,1794960,索尼克 起源,"动作
冒险
2D 平台
像素图形
复古
休闲
平台游戏
好评原声音轨
经典
快节奏
孩童
单人
街机
2D
可爱
探索
怀旧
重制
彩色
90 年代",本作包含作为索尼克系列原点的《刺猬索尼克》，《索尼克CD》、《刺猬索尼克2》、以及《刺猬索尼克3与纳克鲁斯》。,2022 年 6 月 22 日,Sonic Team,0,多半好评,69,79.0,褒贬不一,2889,68.0,2648
